date,tf,orbh,orbl,notes
2026-04-10,15m,48453,48250,
2026-04-10,30m,48453,48156,
2026-04-11,15m,48050,47920,
2026-04-11,30m,48100,47920,
2026-04-13,15m,47886,47712,
2026-04-13,30m,47920,47712,
2026-04-14,15m,48652,48390,
2026-04-14,30m,48652,48390,
2026-04-15,15m,48911,48660,
2026-04-15,30m,48911,48610,
2026-04-15,60m,48911,48561,
2026-04-16,15m,48872,48720,
2026-04-16,30m,48872,48597,
2026-04-16,60m,48872,48529,
2026-04-17,15m,49240,49510,
2026-04-17,30m,49240,49546,
2026-04-17,60m,49240,49747,
2026-04-20,15m,49631,49438,
2026-04-20,30m,49631,49438,
2026-04-20,60m,49631,49438,
2026-04-21,15m,49948,49824,
2026-04-21,30m,50043,49824,
2026-04-21,60m,50043,49824,
2026-04-22,15m,49757,49615,
2026-04-22,30m,49782,49615,
2026-04-22,60m,49810,49615,Failed IBH + lost VWAP -> bearish reversal day
